model_family,run_timestamp,timezone,record_type,status,short_description,purpose,decision,known_issue,source_report,notebook_archive,checkpoint_directory,architecture,initialization,input_size,roi_and_crop_policy,image_processing_full,training_augmentation_full,validation_test_processing,laterality_policy,sampler,pipeline,training_stages,epochs,selected_epoch,batch_size,workers_gpu,loss_function,compared_arms,optimizer,scheduler,learning_rates,weight_decay,amp,gradient_clipping,ema,seed,checkpoint_selection,heatmap_method,heatmap_resolution,dataset_split,test_n,test_accuracy,test_qwk,test_mae,test_macro_precision,test_macro_recall,test_macro_f1,test_grade1_precision,test_grade1_recall,test_average_precision,test_roc_auc,test_loss,test_composite,confidence_interval_notes,validation_accuracy,validation_qwk,validation_macro_f1,validation_grade1_recall,validation_average_precision,validation_roc_auc,validation_selection_score,best_validation_epoch,cam_cases,cam_joint_energy,cam_border_energy,cam_lower_tibia_energy,cam_peak_inside_rate,cam_occlusion_metric,cam_flip_correlation,cam_notes,validation_failures,boundary_confusions,critical_under_predictions,critical_over_predictions,experiment_results,notes,source_file,record_origin,checkpoint_path,checkpoint_sha256,checkpoint_epoch
DenseNet-121,2026-07-21 15:07:17.633270,UTC,training run,completed,DENSENET121 - Canonical Final Linear CAM (CE + Laterality Canonicalization + Native CAM),"This run trained the canonicalfinallinearcam DenseNet-121 architecture for all 30 configured epochs. Right knees were mirrored into the same anatomical orientation as left knees, random horizontal flipping was removed, and a 1x1 convolution produced five spatial grade maps whose global means were the five CE logits. The validation composite selected epoch 23 (0.7241) rather than the maximum-QWK epoch 26. The selected checkpoint achieved test Accuracy 0.6534 (95% CI: 0.6291 - 0.6776) and QWK 0.8238 (95% CI: 0.8055 - 0.8419).",not reported,not reported,docs/report/dense_net_121/report.md,not archived in this model report folder,2026-07-2115-07-17633270UTCcanonicalfinallinearcam,canonicalfinallinearcam,densenet121,"384x384 (resize to 400x400, then crop)",derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE; resize 400x400; train random crop or validation/test center crop to 384x384; ToTensor; ImageNet normalization,Laterality canonicalization before transforms; horizontal flip disabled; mild rotation/brightness/contrast pipeline; Random Erasing p=0.10; minority augmentation disabled,Canonicalize right knees; square-pad; LAB CLAHE; resize 400x400; center crop 384x384; ToTensor; ImageNet normalization; no TTA,True; right knees mirrored before transforms,True; full inverse-frequency (samplerpower=1.0),3-stage,30 (5 warm-up + 15 coarse + 10 fine-tune),30 (5 warm-up + 15 coarse + 10 fine-tune),Epoch 23; validation selection score 0.7241,48 / enabled / Tesla T4,48 / enabled / Tesla T4,Cross-Entropy (CE),not applicable,not reported,not reported,not reported,not reported,not reported,not reported,disabled or not reported,not reported,Epoch 23; validation selection score 0.7241,Five bias-free 1x1 class maps; global spatial mean logits; positive predicted-grade native CAM,12x12 final feature map,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6534,0.8238,not reported,0.68,0.68,0.68,0.35,0.49,0.7311,0.8978,not reported,not reported,0.6534 (95% CI: 0.6291 - 0.6776); 0.8238 (95% CI: 0.8055 - 0.8419); 0.8978 (95% CI: 0.8890 - 0.9077); 0.7311 (95% CI: 0.7065 - 0.7586),not reported,not reported,not reported,not reported,not reported,not reported,not reported,Epoch 23; validation selection score 0.7241,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,287 / 826 (34.75% error),237 (82.6%),5,11,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-22 11:52:13.081467,UTC,validation/post-hoc ablation,completed,JOINT-GUIDED NATIVE-CAM ABLATION,Test weak broad-band joint guidance against the CE control using validation metrics and CAM proxies.,not reported,not reported,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-22_11-52-13_densenet121_joint_guided_cam_ablation.ipynb,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,CE control; joint guidance 0.02; joint guidance 0.05,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,| Arm | QWK | Macro F1 | Grade 1 Recall | Peak Inside Joint | Lower-Tibia Energy | Localization Score | / | CE control | 0.8054 | 0.6927 | 0.3987 | 0.9648 | 0.1689 | 0.8595 | / | Joint guidance 0.02 | 0.8047 | 0.6919 | 0.3922 | 0.9648 | 0.1671 | 0.8605 | / | Joint guidance 0.05 | 0.8082 | 0.6832 | 0.3856 | 0.9780 | 0.1647 | 0.8682 |,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-23 01:31:37.184239,UTC,training run,historical production,DENSENET121 - Canonical Final Linear CAM (CE + Laterality Canonicalization + Native CAM),"This run completed 27 of the 30 configured epochs and selected epoch 27 using the validation composite score (0.7276). The exact saved checkpoint was copied to checkpoints/densenet121/bestmodel.pth. On the test set it achieved Accuracy 0.6612, QWK 0.8178, macro F1 0.6811, macro Average Precision 0.7334, and macro ROC AUC 0.8987. Compared with the 2026-07-21 native-CAM run, Accuracy, AP, and AUC increased slightly, while QWK and Grade 1 recall decreased. The overlapping bootstrap intervals do not establish a statistically significant superiority claim.",not reported,not reported,docs/report/dense_net_121/report.md,not archived in this model report folder,2026-07-2301-31-37184239UTCcanonicalfinallinearcam,canonicalfinallinearcam,densenet121,"384x384 (resize to 400x400, then crop)",derived from Model Input; exact ROI policy not reported,Square-pad complete ROI; LAB CLAHE; resize 400x400; train random crop or validation/test center crop to 384x384; ToTensor; ImageNet normalization,Laterality canonicalization before transforms; horizontal flip disabled; mild rotation/brightness/contrast pipeline; Random Erasing p=0.10; minority augmentation disabled,Canonicalize right knees; square-pad; LAB CLAHE; resize 400x400; center crop 384x384; ToTensor; ImageNet normalization; no TTA,True; right knees mirrored before transforms,True; full inverse-frequency (samplerpower=1.0),3-stage,30 (5 warm-up + 15 coarse + 10 fine-tune),30 (5 warm-up + 15 coarse + 10 fine-tune),27 / 27; validation selection score 0.7276,48,not reported,Cross-Entropy (CE),not applicable,not reported,not reported,not reported,not reported,not reported,not reported,disabled or not reported,not reported,not reported,Five bias-free 1x1 class maps; global spatial mean logits; positive predicted-grade native CAM,12x12 final feature map,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6612,0.8178,not reported,0.6873,0.6783,0.6811,0.37,0.4493,0.7334,0.8987,not reported,not reported,0.6612 (95% bootstrap CI: 0.6383 - 0.6848); 0.8178 (95% bootstrap CI: 0.7971 - 0.8366); 0.8987; 0.7334,0.6683,0.8139,not reported,0.4052,0.7198,0.8877,0.7276,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,274 / 826 (33.17% error),Not exported,Not exported,Not exported,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-24 01:12:36.714882,UTC,validation/post-hoc ablation,completed,GRAD-CAM VS NATIVE CAM,"The controlled audit found no demonstrated superiority for either method. DenseNet map correlation was 1.0000, mean absolute pixel difference was 0.00014, and maximum difference was 0.001359. Native CAM had a tiny anatomy-score advantage (+0.00097) while Grad-CAM had a tiny occlusion-correlation advantage (+0.00007). The result is operational equivalence, not evidence that native CAM localizes disease better.","No demonstrated superiority; retain native CAM for cheaper, structurally faithful inference.",Checkpoint resolver selected stage2_best_model.pth by substring; exact final-checkpoint audit requires rerun.,docs/report/dense_net_121/report.md,not archived in this model report folder,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,Final-layer Grad-CAM compared with native CAM,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,see source report,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-25 04:34:08.758611,UTC,training run,rejected,DENSENET121 - Natural Orientation + Flip + Gamma + EMA Native CAM,"This run completed all 30 configured epochs and evaluated the validation-selected epoch-30 EMA checkpoint on the test set. It tested natural left/right orientation instead of deterministic right-knee mirroring, horizontal flipping during training, mild random gamma correction, and an exponential moving average (EMA) of model weights. The final test results were Accuracy 0.4553, QWK 0.7248, macro F1 approximately 0.5334, Average Precision 0.6663, and ROC AUC 0.8619. These results are substantially below the 2026-07-23 production checkpoint, so this checkpoint must not replace production.",Rejected; do not replace the previous checkpoint.,EMA/natural-orientation run substantially reduced classification performance.,docs/report/dense_net_121/report.md,docs/report/dense_net_121/2026-07-25_04-34-08_densenet121_natural_orientation_flip_gamma_ema.ipynb,2026-07-2504-34-08758611UTCnaturalorientationflipgammaema,naturalfinallinearcam,densenet121,"384x384 (resize to 400x400, then crop)",derived from Model Input; exact ROI policy not reported,"CLAHE(clipLimit=self.cliplimit, tileGridSize=self.tilegridsize); OpenCVCLAHE(); transforms.RandomHorizontalFlip(p=TrainingConfig.horizontalflipp); transforms.RandomRotation(degrees=TrainingConfig.rotationdegrees); transforms.ColorJitter(; transforms.Resize((imgsize, imgsize)); transforms.RandomCrop(cropsize); transforms.ToTensor(); transforms.RandomErasing(p=TrainingConfig.randomerasingp, scale=(0.02, 0.05), ratio=(0.5, 2.0), value=0); transforms.RandomErasing(p=TrainingConfig.randomerasingsecondp, scale=(0.02, 0.05), ratio=(0.5, 2.0), value=0); transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225]); transforms.CenterCrop(cropsize); transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])(transforms.ToTensor()(crop)); transforms.Resize((TrainingConfig.imgsize, TrainingConfig.imgsize)); transforms.CenterCrop(TrainingConfig.cropsize); transforms.Normalize(","Random Horizontal Flip: p=0.50, training only; Minority Augmentations / TTA: False / False; Gamma / Brightness / Contrast: Gamma 0.90-1.10 at p=0.20; brightness and contrast jitter 0.08; Rotation / Random Erasing: +/-5 degrees; erasing p=0.10",deterministic validation/test transform; exact list not reported,False,True; full inverse-frequency (samplerpower=1.0) in all stages,3-stage: 5 warm-up + 15 coarse + 10 full fine-tune epochs,not reported,not reported,30 / 30; validation selection score 0.6693,48 / True,not reported,Cross-Entropy (CE) in all stages,not applicable,not reported,"scheduler_stage2=""cosine""; scheduler_stage3=""cosine""; scheduler_standard=""cosine""","Learning Rates: Warm-up 3e-4; coarse backbone 3e-5, head 3e-4; full fine-tune 1e-5",1e-4,48 / True,not reported,Enabled; decay 0.999,42,not reported,Grad-CAM or CAM method not reported,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.4553,0.7248,not reported,0.6219,0.6232,0.5334,not reported,not reported,0.6663,0.8619,not reported,not reported,0.4553 (95% CI: 0.4348 - 0.4801); 0.7248 (95% CI: 0.7004 - 0.7494); 0.8619 (95% CI: 0.8524 - 0.8731); 0.6663 (95% CI: 0.6393 - 0.6923),0.4431,0.7090,0.6043,0.8170,0.6485,0.8549,0.6693,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,459 / 826 (55.57% error),423 (92.2%),4,20,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-25 06:30:25.175448,UTC,training run,selected/deployed for external audit,DENSENET121 - Final Natural-Orientation Loss Ablation,"This controlled experiment compared standard Cross-Entropy (CE), ordinal PD-2, and CE plus ordinal PD-2 under the same split, seed, sampler, augmentation, training schedule, and five-map native-CAM architecture. It retained natural left/right orientation, used horizontal flipping only as training augmentation, square-padded the complete knee ROI, and resized directly to 384x384 without a center crop. CE was selected at epoch 24 by the validation-only composite score. Its final labeled test results were Accuracy 0.6504, QWK 0.8197, macro F1 0.6823, Average Precision 0.7309, and ROC AUC 0.8935.",Retain CE for classification; external CAM localization is not production-grade.,External YOLO ROI/domain shift: 144/217 CAMs failed the conservative anatomy gate.,docs/report/dense_net_121/report.md,docs/report/dense_net_121/dense_net_121.ipynb,2026-07-2506-30-25175448UTCfinalnoncanonicallossablation/ce,finallinearnativecam,DenseNet-121 with ImageNet initialization,384x384 direct resize after square padding,None; the complete square-padded ROI is retained,"Square pad, LAB-space CLAHE (clipLimit=2.0, tileGridSize=8x8), direct resize to 384x384, ImageNet normalization","Horizontal flip p=0.50; rotation +/-5 degrees; brightness and contrast jitter 0.08; random erasing p=0.10, scale 0.02-0.05, ratio 0.5-2.0","Deterministic; no flip, rotation, jitter, erasing, crop, or TTA",Disabled; left and right knees retain their natural orientation,"Full inverse-frequency WeightedRandomSampler, replacement enabled, one sampled epoch equal to the training-set size",3-stage: 5 head warm-up + 15 coarse + 10 full fine-tune,30 epochs: 5 head warm-up + 15 coarse fine-tuning + 10 full fine-tuning,30 epochs: 5 head warm-up + 15 coarse fine-tuning + 10 full fine-tuning,24 (fine-tune),48 / 4 persistent workers,not reported,"Cross-Entropy (CE), selected",CE; ordinal PD-2; CE + 0.25 ordinal PD-2,AdamW,"CosineAnnealingLR in coarse and full stages; etamin=1e-7, Tmax=15 and 10 respectively",lr_warmup=3e-4; lr_coarse_head=3e-4; lr_coarse_backbone=3e-5; lr_finetune=1e-5; lr_standard=3e-4,1e-4,CUDA AMP enabled when available; global gradient norm clipped to 1.0,CUDA AMP enabled when available; global gradient norm clipped to 1.0,Disabled,"42 for Python, NumPy, PyTorch, sampler, and loader generation",Validation only: 0.55QWK + 0.30macroF1 + 0.15macroAP,Five 1x1 class maps; logits are their spatial means; native CAM is the positive map for the selected grade,not reported,historical Kaggle train/validation/test split; patient grouping not documented,1656,0.6504,0.8197,0.4010,0.6867,0.6804,0.6823,0.3259,0.3953,0.7309,0.8935,not reported,0.7651,0.6504; 0.8197; 0.8935; 0.7309,not reported,not reported,not reported,not reported,not reported,not reported,not reported,CE / epoch 24 (finetune),227,0.8235,0.1130,0.0884,0.9956,joint-occlusion probability drop 0.5428,0.9609,not reported,Not exported,Not exported,49,35,not reported,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures.",docs/report/dense_net_121/experiment_summary.csv,report_csv,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: clahe1_25_pad_acquisition_robustness,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,CLAHE 1.25 -> pad + gamma/blur/sharpness/noise,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,30,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6477,0.8082,0.6930,0.4837,0.7458,0.8941,0.7643,30,227,0.8360,0.1115,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: clahe1_25_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,CLAHE 1.25 -> pad,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,30,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6695,0.8274,0.7061,0.5294,0.7411,0.8951,0.7781,30,227,0.8339,0.1092,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: clahe2_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,CLAHE 2.0 -> pad,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,27,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6598,0.8176,0.6879,0.4248,0.7341,0.8896,0.7661,27,227,0.8243,0.1171,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: pad_then_clahe2_current,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,Pad -> CLAHE 2.0,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,30,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6489,0.8110,0.6867,0.4314,0.7317,0.8881,0.7618,30,227,0.8237,0.1158,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: percentile_1_99_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,Percentile 1-99 -> pad,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,27,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6671,0.8242,0.6797,0.4444,0.7310,0.8964,0.7669,27,227,0.8283,0.1124,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-25 23:48:22.997435,UTC,validation preprocessing ablation,completed; confirmation required,Preprocessing quality arm: raw_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Validation-only run; no test or labeled production-YOLO evaluation.,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,docs/report/dense_net_121/2026-07-25_23-48-22_densenet121_preprocessing_quality_ablation.ipynb,,timm_densenet121_linear_native_cam,ImageNet pretrained,384x384 direct resize after square pad,Complete ROI; no center crop,Raw -> pad,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Deterministic arm-specific preprocessing; no test opened,Natural left/right orientation; no deterministic mirroring,Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,5/15/10,30,29,48,Tesla T4,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,warm-up 3e-4; coarse 3e-5/3e-4; fine 1e-5,1e-4,CUDA AMP,global norm 1.0,disabled,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Positive predicted-grade native CAM,12x12,"5,778 train / 826 validation; test not read",,,,,,,,,,,,,,,0.6489,0.8117,0.6810,0.4444,0.7305,0.8899,0.7603,29,227,0.8310,0.1111,,,,,Selected arm audited 225/227 CAMs through the broad anatomy gate; remaining arms have aggregate gate figures in the source report.,,,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,report_markdown,,,
DenseNet-121,2026-07-30 15:45:03.830205,UTC,validation production-ROI robustness fine-tune,completed; not promoted,Production YOLO ROI robustness fine-tune,Test whether small YOLO ROI expansion and centre-shift variation reduces border-dependent Grad-CAM.,Do not replace the paired-view production checkpoint: metrics improved but aggregate CAM border energy increased.,"CAM energy masks are broad geometry heuristics, not expert lesion annotations.",docs/AI_REPORT.md,notebooks/experiments/densenet121/roi/dense_net_121_production_roi_robustness.ipynb,Google Drive: Models/densenet121_production_roi_robustness/2026-07-30_15-45-03_830205_UTC,timm_densenet121_linear_gradcam,paired-view DenseNet-121 CE checkpoint,384x384,YOLO box; train random expansion 1.10-1.20 and shift up to 5%; validation fixed 1.15 square; external black padding only,LAB CLAHE 1.25; SquarePad; Resize 384; ImageNet normalization,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Fixed production ROI and deterministic preprocessing; test set not opened,Natural orientation; no deterministic mirroring,inverse-frequency WeightedRandomSampler,five-epoch full fine-tune,full model fine-tune,5,4,48,2 / CUDA,Cross-Entropy (CE),,AdamW,CosineAnnealingLR,1e-5,1e-3,CUDA AMP,global norm 1.0,,42,0.55 QWK + 0.30 macro F1 + 0.15 macro AP,Grad-CAM at DenseNet features.norm5,12x12 upsampled to 384x384,"5,778 train / 826 validation; 227 deterministic CAM audit cases; test not opened",,,,,,,,,,,,,,,0.6186,0.7650,0.6451,,0.6756,,0.7156,4,227,0.8505,0.0844,,1.0000,,,"Baseline: joint energy 0.8648, border energy 0.0761, peak-inside 0.9956. Candidate did not meet CAM promotion rule.",,,,,,,notebook inline outputs,executed_notebook,,,
DenseNet-201,not recorded,not recorded,training/evaluation report,completed; separate model report,Optimized multi-scale DenseNet-201,Evaluate a larger multi-scale DenseNet backbone with ordinal training and Grad-CAM.,Retain as a documented candidate; QWK did not beat the best DenseNet-121 runs and Grade 1 recall is weak.,Report does not provide an exact UTC run timestamp or checkpoint provenance; do not use as an exact production record.,docs/report/dense_net_201/dense_net_201_test_results.md,dense_net_201.ipynb (path not present in report folder),checkpoints/densenet201,"Multi-scale DenseNet-201; pooled transition-2, transition-3, and norm5 features",ImageNet pretrained,300x300,Square-padded knee ROI; exact crop provenance not documented,Square padding; CLAHE; grayscale normalization; resize as configured,Horizontal flip p=0.50; capped rotation; small RandomErasing; no color jitter,Deterministic preprocessing; exact sequence not fully recorded,Natural/symmetric laterality; exact policy not recorded,Balanced WeightedRandomSampler in warm-up/coarse stages; stage-3 natural skew,3-stage warm-up + coarse + fine-tune,5 head warm-up; 25 coarse; 15 focal-CORN fine-tune (per configuration guide),45,,not recorded,not recorded,CORN; Focal CORN in final stage,,AdamW,Cosine annealing; eta_min 1e-7,backbone 1e-5; head 1e-4; final 1e-5,1e-4 stages 1/2; 1e-3 stage 3,not recorded,,not recorded,not recorded,not recorded,Grad-CAM over norm5,not recorded,"1,656-image test split; patient grouping not documented",1656,0.6624,0.7763,,,,0.63,,,0.6948,0.8812,,,,,,,,,,,,,,,,,,,,288 / 826,,,,,"DenseNet-201 report recommends balanced stage-3 training and threshold review, but those recommendations were not validated in the documented run.",docs/report/dense_net_201/dense_net_201_test_results.md,report_markdown,checkpoints/densenet201/best_model.pth,a8107b9cc7cc9242385f1facfcfc69c251f88697ed2df4dae8a43c1d66729b76,
