model_family,run_timestamp,status,short_description,purpose,decision,loss_function,sampler,pipeline,training_augmentation_full,heatmap_method,test_accuracy,test_qwk,test_macro_f1,test_grade1_recall,test_average_precision,validation_qwk,validation_macro_f1,validation_grade1_recall,validation_average_precision,cam_joint_energy,cam_border_energy,cam_peak_inside_rate,validation_failures,checkpoint_path,checkpoint_sha256,source_file,notes
DenseNet-121,2026-07-20 17:09:20,completed; provenance incomplete,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,Saved bestmodel.pth + Final-Layer Grad-CAM; Checkpoint provenance must be pinned,not reported,not reported,not reported,not reported,not reported,not reported,0.6685,0.8223,not reported,not reported,0.7345,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/dense_net_121/experiment_summary.csv,No dedicated detailed run section was found; only the report summary row is indexed.
DenseNet-121,2026-07-21 15:07:17.633270,completed,DENSENET121 - Canonical Final Linear CAM (CE + Laterality Canonicalization + Native CAM),"This run trained the canonicalfinallinearcam DenseNet-121 architecture for all 30 configured epochs. Right knees were mirrored into the same anatomical orientation as left knees, random horizontal flipping was removed, and a 1x1 convolution produced five spatial grade maps whose global means were the five CE logits. The validation composite selected epoch 23 (0.7241) rather than the maximum-QWK epoch 26. The selected checkpoint achieved test Accuracy 0.6534 (95% CI: 0.6291 - 0.6776) and QWK 0.8238 (95% CI: 0.8055 - 0.8419).",not reported,Cross-Entropy (CE),True; full inverse-frequency (samplerpower=1.0),3-stage,Laterality canonicalization before transforms; horizontal flip disabled; mild rotation/brightness/contrast pipeline; Random Erasing p=0.10; minority augmentation disabled,Five bias-free 1x1 class maps; global spatial mean logits; positive predicted-grade native CAM,0.6534,0.8238,0.68,0.49,0.7311,not reported,not reported,not reported,not reported,not reported,not reported,not reported,287 / 826 (34.75% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
SE-ResNeXt-50 32x4d,2026-07-22 11:50:51.226627,completed,CAM ARCHITECTURE AND LOSS ABLATION,"Compare CAM heads, CE/ordinal losses, and weak localization guidance on the same validation split.",not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint."
DenseNet-121,2026-07-22 11:52:13.081467,completed,JOINT-GUIDED NATIVE-CAM ABLATION,Test weak broad-band joint guidance against the CE control using validation metrics and CAM proxies.,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/dense_net_121/experiment_summary.csv,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint."
SE-ResNeXt-50 32x4d,2026-07-23 01:25:36.772175,completed,SE-RESNEXT50-32X4D - Final Linear Native CAM,"This comparison run completed all 30 configured epochs without a runtime error. The composite validation score selected epoch 24 (0.7003). The selected checkpoint achieved test Accuracy 0.6389, QWK 0.8194, macro F1 0.6671, macro Average Precision 0.7248, and macro ROC AUC 0.8948. This is the optimized SE-ResNeXt configuration selected by the preceding controlled CAM ablation; it is not the application checkpoint.",Retained canonical 12x12 native-CAM CE baseline.,Cross-Entropy (CE),Full inverse-frequency,3-stage,"CLAHE(); SquarePad(); transforms.RandomRotation(5); transforms.ColorJitter(brightness=0.08, contrast=0.08); transforms.Resize((400, 400)); transforms.RandomCrop(384); transforms.ToTensor(); transforms.RandomErasing(; transforms.Normalize(; transforms.CenterCrop(384)",Grad-CAM or CAM method not reported,0.6389,0.8194,0.6671,0.4155,0.7248,0.7873,0.6498,0.4183,0.6915,0.8707,0.0749,0.9956,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-23 01:31:37.184239,historical production,DENSENET121 - Canonical Final Linear CAM (CE + Laterality Canonicalization + Native CAM),"This run completed 27 of the 30 configured epochs and selected epoch 27 using the validation composite score (0.7276). The exact saved checkpoint was copied to checkpoints/densenet121/bestmodel.pth. On the test set it achieved Accuracy 0.6612, QWK 0.8178, macro F1 0.6811, macro Average Precision 0.7334, and macro ROC AUC 0.8987. Compared with the 2026-07-21 native-CAM run, Accuracy, AP, and AUC increased slightly, while QWK and Grade 1 recall decreased. The overlapping bootstrap intervals do not establish a statistically significant superiority claim.",not reported,Cross-Entropy (CE),True; full inverse-frequency (samplerpower=1.0),3-stage,Laterality canonicalization before transforms; horizontal flip disabled; mild rotation/brightness/contrast pipeline; Random Erasing p=0.10; minority augmentation disabled,Five bias-free 1x1 class maps; global spatial mean logits; positive predicted-grade native CAM,0.6612,0.8178,0.6811,0.4493,0.7334,0.8139,not reported,0.4052,0.7198,not reported,not reported,not reported,274 / 826 (33.17% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
SE-ResNeXt-50 32x4d,2026-07-23 06:57:13.378879,completed,SE-RESNEXT50-32X4D - Multiscale 24x24 Native CAM + EMA,"This run completed all 30 configured epochs without a runtime error and selected epoch 30 using the EMA validation composite score (0.6728). It tested two changes together: equal fusion of 24x24 and 12x12 class maps, and an exponential moving average with decay 0.999. Test Grade 1 recall improved from 0.4155 to 0.5507, but every other principal predictive metric declined. CAM joint energy also decreased while border and lower-tibia energy increased. Both configured promotion gates failed, so this checkpoint must not replace the 2026-07-23 01:25:36.772175 UTC model.",Rejected; higher map resolution and Grade 1 recall did not offset metric/CAM regressions.,Cross-Entropy (CE),Full inverse-frequency,3-stage,"CLAHE(); SquarePad(); transforms.RandomRotation(5); transforms.ColorJitter(brightness=0.08, contrast=0.08); transforms.Resize((400, 400)); transforms.RandomCrop(384); transforms.ToTensor(); transforms.RandomErasing(; transforms.Normalize(; transforms.CenterCrop(384)",Equal average of five 24x24 stage-3 class maps and upsampled five 12x12 final-stage class maps; global mean produces logits,0.5676,0.7651,0.6220,0.5507,0.6918,0.7150,0.6028,0.6078,0.6573,0.7938,0.1175,0.9912,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
SE-ResNeXt-50 32x4d,2026-07-23 15:13:05.616211,completed,SAMPLER ABLATION,Compare class sampling strategies under the same validation objective and CAM audit.,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint."
DenseNet-121,2026-07-24 01:12:36.714882,completed,GRAD-CAM VS NATIVE CAM,"The controlled audit found no demonstrated superiority for either method. DenseNet map correlation was 1.0000, mean absolute pixel difference was 0.00014, and maximum difference was 0.001359. Native CAM had a tiny anatomy-score advantage (+0.00097) while Grad-CAM had a tiny occlusion-correlation advantage (+0.00007). The result is operational equivalence, not evidence that native CAM localizes disease better.","No demonstrated superiority; retain native CAM for cheaper, structurally faithful inference.",not reported,not reported,not reported,not reported,Final-layer Grad-CAM compared with native CAM,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/dense_net_121/experiment_summary.csv,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint."
SE-ResNeXt-50 32x4d,2026-07-24 01:12:36.714882,completed,GRAD-CAM VS NATIVE CAM,"SE-ResNeXt native CAM and final-layer Grad-CAM had map correlation 1.0000, mean pixel difference 0.00008, and maximum difference 0.000592. The statistical decision was nodemonstratedsuperiority. The run used stage2bestmodel.pth because of a resolver substring bug, so exact final-checkpoint localization values require a corrected rerun. See the complete CAM comparison report.","No demonstrated superiority; retain native CAM for cheaper, structurally faithful inference.",not reported,not reported,not reported,not reported,Final-layer Grad-CAM compared with native CAM,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Ablation/audit row: metrics are validation or post-hoc comparison results, not a new locked-test checkpoint."
EfficientNet-B0,2026-07-24 04:45:25.604705,completed; not promoted,EfficientNet-B0 final 12x12 native-CAM CE,Standalone EfficientNet scale candidate and CAM audit.,Do not promote; weaker classifier than DenseNet/SE-ResNeXt.,Cross-Entropy (CE),Full inverse-frequency,5 warm-up + 15 coarse + 10 fine-tune,Canonical right-knee mirroring; rotation; brightness/contrast; RandomErasing,12x12 native CAM,0.6051,0.7992,0.6258,0.3986,0.6817,0.7743,0.6317,0.4771,0.6690,0.8280,0.1080,0.9956,,checkpoints/efficientnet_b0/best_model.pth,47238a3ee5350b6521e3f292d30493e7a7e37d0c7aee748b46424c0859fe60ff,docs/report/efficientnet_b0/report.md,
Ensemble,2026-07-24 09:03:08.287732,experimental; unlabeled,Three-model weighted soft vote (DenseNet + SE-ResNeXt + EfficientNet-B0),Probability-level ensemble and dynamic heatmap source selection.,Operational only; do not claim accuracy from unlabeled smoke images.,,,Soft-vote probabilities; choose agreeing CAM by probability x joint reliability,,Dynamic native-CAM component selection,,,,,,,,,,,,,,,,docs/report/ensemble/2026-07-24_09-03-08_three_model_weighted_soft_voting.md,19 automated checks passed; 20/20 HTTP 200; response schema unchanged; not an accuracy evaluation.
SE-ResNeXt-50 32x4d,2026-07-25 01:50:53.962450,completed,SE-RESNEXT50-32X4D - NATURAL ORIENTATION + FLIP + GAMMA + FINAL NATIVE CAM,"This run completed all 30 configured epochs on a Tesla T4 without a training error and selected epoch 28 using the validation composite score (0.7061). It removed deterministic right-knee canonicalization and instead exposed the model to both orientations with a training-only horizontal flip (p=0.50). It also added mild gamma correction (0.90-1.10, p=0.20) while retaining mild rotation, brightness/contrast jitter, CLAHE, a small random erasing region, and the original 12x12 five-map native-CAM head.",Preferred SE-ResNeXt candidate for single-knee inputs without laterality metadata; external comparison still required.,Cross-Entropy (CE),Full inverse-frequency,3-stage,Horizontal flip p=0.50; rotation +/-5 degrees; brightness/contrast 0.08; gamma 0.90-1.10 at p=0.20; random erasing p=0.10,Bias-free 1x1 convolution producing five 12x12 grade maps; global spatial mean produces five logits,0.6558,0.8216,0.6781,0.4122,0.7299,0.7899,0.6617,0.3856,0.7139,0.8516,0.0990,0.9912,not reported,,,docs/report/se_resnext50_32x4d/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-25 04:34:08.758611,rejected,DENSENET121 - Natural Orientation + Flip + Gamma + EMA Native CAM,"This run completed all 30 configured epochs and evaluated the validation-selected epoch-30 EMA checkpoint on the test set. It tested natural left/right orientation instead of deterministic right-knee mirroring, horizontal flipping during training, mild random gamma correction, and an exponential moving average (EMA) of model weights. The final test results were Accuracy 0.4553, QWK 0.7248, macro F1 approximately 0.5334, Average Precision 0.6663, and ROC AUC 0.8619. These results are substantially below the 2026-07-23 production checkpoint, so this checkpoint must not replace production.",Rejected; do not replace the previous checkpoint.,Cross-Entropy (CE) in all stages,True; full inverse-frequency (samplerpower=1.0) in all stages,3-stage: 5 warm-up + 15 coarse + 10 full fine-tune epochs,"Random Horizontal Flip: p=0.50, training only; Minority Augmentations / TTA: False / False; Gamma / Brightness / Contrast: Gamma 0.90-1.10 at p=0.20; brightness and contrast jitter 0.08; Rotation / Random Erasing: +/-5 degrees; erasing p=0.10",Grad-CAM or CAM method not reported,0.4553,0.7248,0.5334,not reported,0.6663,0.7090,0.6043,0.8170,0.6485,not reported,not reported,not reported,459 / 826 (55.57% error),,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-25 06:30:25.175448,selected/deployed for external audit,DENSENET121 - Final Natural-Orientation Loss Ablation,"This controlled experiment compared standard Cross-Entropy (CE), ordinal PD-2, and CE plus ordinal PD-2 under the same split, seed, sampler, augmentation, training schedule, and five-map native-CAM architecture. It retained natural left/right orientation, used horizontal flipping only as training augmentation, square-padded the complete knee ROI, and resized directly to 384x384 without a center crop. CE was selected at epoch 24 by the validation-only composite score. Its final labeled test results were Accuracy 0.6504, QWK 0.8197, macro F1 0.6823, Average Precision 0.7309, and ROC AUC 0.8935.",Retain CE for classification; external CAM localization is not production-grade.,"Cross-Entropy (CE), selected","Full inverse-frequency WeightedRandomSampler, replacement enabled, one sampled epoch equal to the training-set size",3-stage: 5 head warm-up + 15 coarse + 10 full fine-tune,"Horizontal flip p=0.50; rotation +/-5 degrees; brightness and contrast jitter 0.08; random erasing p=0.10, scale 0.02-0.05, ratio 0.5-2.0",Five 1x1 class maps; logits are their spatial means; native CAM is the positive map for the selected grade,0.6504,0.8197,0.6823,0.3953,0.7309,not reported,not reported,not reported,not reported,0.8235,0.1130,0.9956,Not exported,,,docs/report/dense_net_121/experiment_summary.csv,"Values are transcribed from the consolidated report; see source for epoch history, confusion matrix, class report, and figures."
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: clahe1_25_pad_acquisition_robustness,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8082,0.6930,0.4837,0.7458,0.8360,0.1115,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: clahe1_25_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8274,0.7061,0.5294,0.7411,0.8339,0.1092,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: clahe2_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8176,0.6879,0.4248,0.7341,0.8243,0.1171,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: pad_then_clahe2_current,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8110,0.6867,0.4314,0.7317,0.8237,0.1158,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: percentile_1_99_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8242,0.6797,0.4444,0.7310,0.8283,0.1124,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
DenseNet-121,2026-07-25 23:48:22.997435,completed; confirmation required,Preprocessing quality arm: raw_then_pad,Test acquisition preprocessing order and strength under the same DenseNet/CE training protocol.,CLAHE 1.25 -> pad is the validation winner; do not promote until a clean confirmation and locked holdout.,Cross-Entropy (CE),Full inverse-frequency,5 head warm-up + 15 coarse + 10 fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Positive predicted-grade native CAM,,,,,,0.8117,0.6810,0.4444,0.7305,0.8310,0.1111,,,,,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md,
YOLOv8,2026-07-26 07:25:09,current checkpoint,YOLOv8n joint detector current best.pt,Detect knee joint ROI in full radiographs.,Current detector; use with classifier crop pipeline.,YOLO box/cls/DFL losses,,,Ultralytics default detection augmentation (train args in checkpoint metadata),,,,,,,,,,,,,,,checkpoints/yolov8/best.pt,443003a317ca71f3f63e0f5ac145a0eafa431053a998dbb4c60c65b5c5e7fef7,checkpoints/yolov8/best.pt,Detector metrics are not KL-grading metrics; downstream CAM can still fail when classifier training crops differ from YOLO crops.
DenseNet-121,2026-07-30 15:45:03.830205,completed; not promoted,Production YOLO ROI robustness fine-tune,Test whether small YOLO ROI expansion and centre-shift variation reduces border-dependent Grad-CAM.,Do not replace the paired-view production checkpoint: metrics improved but aggregate CAM border energy increased.,Cross-Entropy (CE),inverse-frequency WeightedRandomSampler,five-epoch full fine-tune,Horizontal flip p=0.50; rotation +/-5; brightness/contrast 0.08; RandomErasing p=0.10,Grad-CAM at DenseNet features.norm5,,,,,,0.7650,0.6451,,0.6756,0.8505,0.0844,1.0000,,,,notebook inline outputs,
