row_id,notebook,record_type,status,model_family,architecture_detail,arm_or_config,run_directory,base_checkpoint,dataset,split_evaluated,n_eval,input_size,preprocessing,loss_function,sampler,pipeline_stages,epochs_budget,selected_epoch,batch_size,num_workers,optimizer,scheduler,learning_rates,weight_decay,seed,selection_rule,accuracy,qwk,mae,macro_precision,macro_recall,macro_f1,grade1_recall,macro_ap,macro_auc,selection_score,per_grade_f1,decision,notes
DN-EXP-11,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",percentile_1_99_then_pad (robust global 1-99 percentile windowing),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,percentile 1-99 windowing -> square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),27,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8241785,—,—,0.6918836,0.6797090,0.4444444,—,0.8963625,0.7668655,—,not selected,Best macro AUC of the six arms (0.8964) but lower macro F1 than CLAHE 1.25.
DN-EXP-12,notebooks/densenet121/experiments/2026-07-25_densenet121_preprocessing_clahe_ablation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP",clahe1_25_then_pad_acquisition_robust (CLAHE 1.25 + random gamma/blur/noise),2026-07-25_23-48-22_997435_UTC_preprocessing_quality_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,"CLAHE 1.25 (8x8) -> square pad; resize 384; training-only gamma, blur, Gaussian noise",Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8082430,—,—,0.6959893,0.6930339,0.4836601,—,0.8940800,0.7643120,—,not selected; acquisition augmentation did not help,Dynamically-chosen robustness follow-up on the best deterministic arm. Adding acquisition noise cost 0.019 QWK versus the plain CLAHE 1.25 arm.
DN-EXP-13,notebooks/densenet121/experiments/2026-07-26_densenet121_clahe_order_confirmation.ipynb,ablation_arm,completed,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP","current_pad_then_clahe2 (confirmation, trained from scratch)",2026-07-26_06-44-07_628595_UTC_preprocessing_confirmation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,square pad -> CLAHE 2.0 (8x8); resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),25,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8064971,—,—,0.6959420,0.6877679,0.4313725,—,0.8865167,0.7596466,—,not selected,"Clean re-run with no resume, removing the interrupted-optimizer confound of the six-arm ablation."
DN-EXP-14,notebooks/densenet121/experiments/2026-07-26_densenet121_clahe_order_confirmation.ipynb,ablation_arm,completed; PRODUCTION PREPROCESSING CONFIRMED,DenseNet-121,"native-CAM: timm densenet121, bias-free 1x1 class conv + GAP","clahe1_25_then_pad (confirmation, trained from scratch)",2026-07-26_06-44-07_628595_UTC_preprocessing_confirmation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 1.25 (8x8) -> square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),30,48,4,AdamW,CosineAnnealingLR (stages 2-3),3e-4 / 3e-5 / 1e-5,1e-4 warmup+coarse; 1e-3 finetune,42,0.55*QWK + 0.30*macroF1 + 0.15*macroAP,—,0.8142283,—,—,0.6903289,0.6846063,0.4836601,—,0.8935041,0.7636995,—,winner; CLAHE 1.25 before padding adopted,"Confirms the six-arm result without the resume confound. Checkpoint on disk (best_model_epoch30.pth) records val QWK 0.8142283, MAE 0.3958838, G1 precision 0.37, G1 recall 0.4836601 — an exact match."
DN-EXP-15,notebooks/densenet121/experiments/2026-07-28_densenet121_roi_robustness_ablation.ipynb,ablation_arm,completed,DenseNet-121,standard head: timm densenet121 GAP + linear; Grad-CAM from features.norm5 (post-hoc),"single_cutout_control (no geometry jitter, no acquisition variation)",2026-07-28_04-58-51_294354_UTC_roi_robustness_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),26,64,2,AdamW,CosineAnnealingLR (stages 2-3),warmup/coarse/finetune per TrainingConfig,1e-4 (finetune 10x),42,QWK + macroF1 + macroAP + Grade-1 recall composite,—,0.8177,—,—,—,0.6836,0.4641,0.7526,—,—,—,validation metric winner; NOT eligible for promotion,"CAM failure 2.18%, joint energy 0.8137, border energy 0.1266. Fails the Grade-1 recall gate (needs >= 0.48)."
DN-EXP-16,notebooks/densenet121/experiments/2026-07-28_densenet121_roi_robustness_ablation.ipynb,ablation_arm,completed,DenseNet-121,standard head: timm densenet121 GAP + linear; Grad-CAM from features.norm5 (post-hoc),"roi_geometry_jitter (scale-down + translate on square canvas, never crops anatomy)",2026-07-28_04-58-51_294354_UTC_roi_robustness_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),29,64,2,AdamW,CosineAnnealingLR (stages 2-3),warmup/coarse/finetune per TrainingConfig,1e-4 (finetune 10x),42,QWK + macroF1 + macroAP + Grade-1 recall composite,—,0.7999,—,—,—,0.6797,0.4510,0.7371,—,—,—,not eligible,Best CAM failure rate of the three (0.85%) and higher joint energy (0.8315) but lower QWK. Fails macro-F1 (>= 0.68) and Grade-1 recall (>= 0.48) gates.
DN-EXP-17,notebooks/densenet121/experiments/2026-07-28_densenet121_roi_robustness_ablation.ipynb,ablation_arm,completed,DenseNet-121,standard head: timm densenet121 GAP + linear; Grad-CAM from features.norm5 (post-hoc),roi_geometry_plus_acquisition (geometry jitter + gamma/blur/noise),2026-07-28_04-58-51_294354_UTC_roi_robustness_ablation,ImageNet pretrained (no base run),kaggle_knee_osteoarthritis (train 5778 / val 826),validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,3-stage warmup/coarse/finetune,30 (5/15/10),25,64,2,AdamW,CosineAnnealingLR (stages 2-3),warmup/coarse/finetune per TrainingConfig,1e-4 (finetune 10x),42,QWK + macroF1 + macroAP + Grade-1 recall composite,—,0.8000,—,—,—,0.6625,0.4510,0.7329,—,—,—,not eligible,"Highest joint energy (0.8379) and lowest border energy (0.1103), i.e. best localization, but macro F1 0.6625 fails the gate. Overall notebook decision: promotion candidate NONE, keep the current production checkpoint."
DN-EXP-18,notebooks/densenet121/experiments/2026-07-29_densenet121_yolo_crop_expansion_ablation.ipynb,ablation_arm,completed; low-resolution proxy,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20 (frozen; no training in this notebook)",YOLO crop expansion x1.00 (raw production box),2026-07-29_04-54-34_954198_UTC_yolo_crop_expansion_ablation,densenet121_checkpoints/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29),Mendeley DetKneeData/H5/valH5 bilateral HDF5 (256x320) labelled from ClsKLData/kneeKL224/val,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,n/a (inference only),n/a,no training (frozen checkpoint),0,n/a,CLASSIFIER_BATCH_SIZE,2,n/a,n/a,n/a,n/a,42,"within 0.01 of raw crop on QWK/macroF1/AP, then best anatomy score",0.238499,0.220636,1.392252,0.358415,0.418444,0.240907,0.000000,0.494204,0.731133,0.267752,—,RECOMMENDED expansion factor,"CAM over 227 audited knees: joint 0.699481, border 0.155613, lower-tibia 0.130303. CAVEAT: absolute metrics are very low because the HDF5 source images are only 256x320, far off-distribution for a checkpoint trained on 384 published crops. The notebook states these numbers select crop policy only and do NOT measure model accuracy."
DN-EXP-19,notebooks/densenet121/experiments/2026-07-29_densenet121_yolo_crop_expansion_ablation.ipynb,ablation_arm,completed; low-resolution proxy,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20 (frozen; no training in this notebook)",YOLO crop expansion x1.15,2026-07-29_04-54-34_954198_UTC_yolo_crop_expansion_ablation,densenet121_checkpoints/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29),Mendeley DetKneeData/H5/valH5 bilateral HDF5 (256x320) labelled from ClsKLData/kneeKL224/val,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,n/a (inference only),n/a,no training (frozen checkpoint),0,n/a,CLASSIFIER_BATCH_SIZE,2,n/a,n/a,n/a,n/a,42,"within 0.01 of raw crop on QWK/macroF1/AP, then best anatomy score",0.243341,0.212473,1.411622,0.391947,0.428378,0.235535,0.006536,0.482689,0.731402,0.259924,—,not recommended by this notebook,"CAM: joint 0.788078, border 0.086614, lower-tibia 0.097431 — better localization than x1.00, but QWK falls outside the 0.01 classification guardrail. Same 256x320 resolution caveat. NOTE: x1.15 was nonetheless adopted later by the paired-view adaptation (DN-EXP-23), which measured it at full 384 resolution."
DN-EXP-20,notebooks/densenet121/experiments/2026-07-29_densenet121_yolo_crop_expansion_ablation.ipynb,ablation_arm,completed; low-resolution proxy,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20 (frozen; no training in this notebook)",YOLO crop expansion x1.30,2026-07-29_04-54-34_954198_UTC_yolo_crop_expansion_ablation,densenet121_checkpoints/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29),Mendeley DetKneeData/H5/valH5 bilateral HDF5 (256x320) labelled from ClsKLData/kneeKL224/val,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,n/a (inference only),n/a,no training (frozen checkpoint),0,n/a,CLASSIFIER_BATCH_SIZE,2,n/a,n/a,n/a,n/a,42,"within 0.01 of raw crop on QWK/macroF1/AP, then best anatomy score",0.208232,0.148199,1.560533,0.333837,0.396527,0.198118,0.000000,0.453601,0.709788,0.208985,—,rejected,"CAM: joint 0.801130, border 0.066131, lower-tibia 0.101651. Best localization proxy but the worst classification by a wide margin. Same 256x320 resolution caveat."
DN-EXP-21,notebooks/densenet121/experiments/2026-07-29_densenet121_paired_view_yolo_ablation.ipynb,ablation_arm,completed; control,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20, standard head","base_unadapted (untouched base checkpoint, no fine-tuning)",2026-07-29_12-21-26_272367_UTC_paired_view_yolo_crop_adaptation,"densenet121_checkpoints/archive/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29, SHA-256 2d9c6e04...)",published ClsKLData/kneeKL224 + production YOLO views from DetKneeData/H5,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,single-stage full-network fine-tune,0,n/a,48,2,AdamW,CosineAnnealingLR,1e-5,1e-3,42,mean of 3 domain scores; published QWK/macroF1/macroAP within 0.01 of base_unadapted,0.644068,0.806742,0.412833,0.685602,0.685093,0.682205,0.483660,0.732804,0.891599,0.758290,—,control; eligible to win,Published domain. Cross-domain collapse on production YOLO crops: yolo_x1_00 acc 0.238499 QWK 0.220636 macroF1 0.240907 G1R 0.000000; yolo_x1_15 acc 0.243341 QWK 0.212473 macroF1 0.235535 G1R 0.006536. This gap is the reason paired-view adaptation exists.
DN-EXP-22,notebooks/densenet121/experiments/2026-07-29_densenet121_paired_view_yolo_ablation.ipynb,ablation_arm,completed,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20, standard head",published_control (5 epochs on published crops only),2026-07-29_12-21-26_272367_UTC_paired_view_yolo_crop_adaptation,"densenet121_checkpoints/archive/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29, SHA-256 2d9c6e04...)",published ClsKLData/kneeKL224 + production YOLO views from DetKneeData/H5,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,single-stage full-network fine-tune,5,5,48,2,AdamW,CosineAnnealingLR,1e-5,1e-3,42,mean of 3 domain scores; published QWK/macroF1/macroAP within 0.01 of base_unadapted,0.647700,0.805012,0.414044,0.683160,0.688630,0.684013,0.457516,0.739166,0.892815,—,—,rejected; no cross-domain benefit,Published domain. Fine-tuning on published crops alone barely moved the YOLO domains: yolo_x1_00 acc 0.266344 QWK 0.230377 macroF1 0.275508 G1R 0.000000; yolo_x1_15 acc 0.266344 QWK 0.230844 macroF1 0.266617 G1R 0.019608.
DN-EXP-23,notebooks/densenet121/experiments/2026-07-29_densenet121_paired_view_yolo_ablation.ipynb,ablation_arm,completed,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20, standard head",paired_raw_x1_00 (50% published crop + 50% raw YOLO crop),2026-07-29_12-21-26_272367_UTC_paired_view_yolo_crop_adaptation,"densenet121_checkpoints/archive/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29, SHA-256 2d9c6e04...)",published ClsKLData/kneeKL224 + production YOLO views from DetKneeData/H5,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,single-stage full-network fine-tune,5,5,48,2,AdamW,CosineAnnealingLR,1e-5,1e-3,42,mean of 3 domain scores; published QWK/macroF1/macroAP within 0.01 of base_unadapted,0.639225,0.802230,0.420097,0.673230,0.677488,0.671061,0.483660,0.728877,0.888294,—,—,not selected,Published domain. Large cross-domain recovery: yolo_x1_00 acc 0.578692 QWK 0.721399 macroF1 0.611479 G1R 0.313725 AP 0.641791 AUC 0.844679 MAE 0.538741; yolo_x1_15 acc 0.556901 QWK 0.707461 macroF1 0.572802 G1R 0.287582.
DN-EXP-24,notebooks/densenet121/experiments/2026-07-29_densenet121_paired_view_yolo_ablation.ipynb,ablation_arm,completed; PRODUCTION RECIPE ORIGIN,DenseNet-121,"timm densenet121, num_classes=5, drop_rate 0.20, standard head",paired_expanded_x1_15 (50% published crop + 50% 1.15x expanded YOLO crop),2026-07-29_12-21-26_272367_UTC_paired_view_yolo_crop_adaptation,"densenet121_checkpoints/archive/2026-07-29_00-58-22_554974_UTC_natural_orientation_ce_gradcam/best_model.pth (epoch 29, SHA-256 2d9c6e04...)",published ClsKLData/kneeKL224 + production YOLO views from DetKneeData/H5,validation,826,384x384,CLAHE 1.25 (8x8); square pad; resize 384,Cross-Entropy (CE),full inverse-frequency,single-stage full-network fine-tune,5,5,48,2,AdamW,CosineAnnealingLR,1e-5,1e-3,42,mean of 3 domain scores; published QWK/macroF1/macroAP within 0.01 of base_unadapted,0.646489,0.804346,0.412833,0.686870,0.677236,0.679096,0.483660,0.724309,0.886239,—,—,SELECTED; this is the 50/50 paired-view + 1.15x recipe used by both deployed models,"Published domain, and passes the guardrail (within 0.01 of base_unadapted on QWK/macroF1/macroAP). Cross-domain: yolo_x1_00 acc 0.569007 QWK 0.705526 macroF1 0.614207 G1R 0.385621; yolo_x1_15 acc 0.576271 QWK 0.718937 macroF1 0.606416 G1R 0.339869 AP 0.655103 AUC 0.843803 MAE 0.542373. Best mean score across the three domains."
